*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL     Drain1,   Evap1,   RootUK1
 1990 076    97  171.75    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.11   0.03   0.00   0.00    0.00      0.00        0.00   -0.11   -0.03    0.00    0.00        0.00   -1.16    0.00
 1990 077    98  171.62    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.10   0.03   0.00   0.00    0.00      0.00        0.00   -0.10   -0.03    0.00    0.00        0.00   -1.06    0.00
 1990 078    99  171.50    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.09   0.03   0.00   0.00    0.00      0.00        0.00   -0.09   -0.03    0.00    0.00        0.00   -0.96    0.00
 1990 079   100  171.38    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.09   0.03   0.00   0.00    0.00      0.00        0.00   -0.09   -0.03    0.00    0.00        0.00   -0.88    0.00
 1990 080   101  171.26    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.09   0.03   0.00   0.00    0.00      0.00        0.00   -0.09   -0.03    0.00    0.00        0.00   -0.80    0.00
 1990 081   102  171.14    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.08   0.03   0.00   0.00    0.00      0.00        0.00   -0.08   -0.03    0.00    0.00        0.00   -0.73    0.00
 1990 082   103  171.03    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.08   0.03   0.00   0.00    0.00      0.00        0.00   -0.08   -0.03    0.00    0.00        0.00   -0.67    0.00
 1990 083   104  170.92    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.08   0.04   0.00   0.00    0.00      0.00        0.00   -0.08   -0.04    0.00    0.00        0.00   -0.61    0.00
 1990 084   105  170.81    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.07   0.04   0.00   0.00    0.00      0.00        0.00   -0.07   -0.04    0.00    0.00        0.00   -0.55    0.00
 1990 085   106  170.71    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.07   0.04   0.00   0.00    0.00      0.00        0.00   -0.07   -0.04    0.00    0.00        0.00   -0.50    0.00
 1990 086   107  170.60    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.07   0.04   0.00   0.00    0.00      0.00        0.00   -0.07   -0.04    0.00    0.00        0.00   -0.46    0.00
