*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    ES7D    ES8D    ES9D    TRWU
 1990 045    66  11.00  18.40  12.40  2.102  2.025  0.069  3.578  3.548  0.029  0.000  0.000  181.27  172.98  149.91   19.27    0.00    3.80   0.023   0.004   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.355
 1990 046    67  13.40  17.80   9.00  2.462  2.369  0.083  1.072  1.037  0.036  0.000  0.000  183.73  174.05  150.95   19.31    0.00    3.80   0.028   0.005   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.104
 1990 047    68  18.40  20.40   3.60  3.334  3.204  0.116  1.562  1.513  0.049  0.000  0.000  187.07  175.62  152.46   19.36    0.00    3.80   0.039   0.006   0.002   0.000   0.000   0.000   0.000   0.000   0.000   0.151
 1990 048    69  19.80  22.40   3.00  3.668  3.522  0.130  3.324  3.268  0.056  0.000  0.000  190.74  178.94  155.73   19.41    0.00    3.80   0.045   0.007   0.002   0.000   0.000   0.000   0.000   0.001   0.000   0.327
 1990 049    70  20.30  23.00   2.60  3.777  3.624  0.137  3.911  3.852  0.059  0.000  0.000  194.51  182.85  159.58   19.47    0.00    3.80   0.047   0.007   0.002   0.000   0.000   0.000   0.001   0.001   0.000   0.385
 1990 050    71  20.90  24.00   2.40  3.934  3.772  0.146  3.795  3.732  0.063  0.000  0.000  198.45  186.65  163.31   19.54    0.00    3.80   0.051   0.008   0.002   0.000   0.000   0.000   0.001   0.001   0.000   0.373
 1990 051    72  19.30  22.40   4.00  3.607  3.455  0.137  3.745  3.686  0.059  0.000  0.000  202.05  190.39  167.00   19.59    0.00    3.80   0.048   0.007   0.002   0.000   0.000   0.000   0.000   0.001   0.000   0.369
 1990 052    73  20.80  25.00   3.60  4.010  3.838  0.156  2.686  2.619  0.067  0.000  0.000  206.06  193.08  169.61   19.66    0.00    3.80   0.055   0.008   0.002   0.000   0.000   0.000   0.000   0.001   0.000   0.262
 1990 053    74  20.40  25.40   4.80  3.995  3.820  0.160  3.243  3.174  0.069  0.000  0.000  210.06  196.32  172.79   19.73    0.00    3.80   0.056   0.008   0.002   0.000   0.000   0.000   0.000   0.001   0.000   0.317
 1990 054    75  22.20  29.00   4.60  4.543  4.339  0.187  2.927  2.846  0.081  0.000  0.000  214.60  199.25  175.63   19.81    0.00    3.80   0.065   0.010   0.003   0.001   0.000   0.000   0.000   0.001   0.001   0.285
